-1.31204  3.08057 0.704067	-1.16707  3.02611 0.677222
  0.322771    2.49316 0.00960517	 0.360401   2.47293 0.0179727
-0.683305   6.57093    1.5693	-0.837456   6.49956   1.58856
-3.73626 -2.08632 0.177238	-3.17085 -1.72545 0.196439
 -2.65763   2.30982 0.0695629	-2.32951  2.30454 0.081396
  1.1729  6.00259 0.436448	 1.07063  5.93487 0.428673
-1.14423  1.37508 0.184888	 -0.9769  1.40779 0.191801
 -0.87675   9.76701 0.0580995	 -1.19187   9.86054 0.0465105
-1.83172  0.59836 0.812079	-1.58012 0.685569 0.784935
0.0678718   7.91655   1.68288	-0.115154   7.89227   1.70089
-0.442269   1.39201   1.46595	-0.326063    1.4229    1.4164
-1.59564  5.11386  1.01352	-1.69975  4.99156  1.02543
-1.56051  2.55726  1.64035	-1.40649  2.51875  1.57472
-1.60995  6.29963 0.339398	-1.92789  6.28022 0.359843
-1.21655  9.07365  1.64455	-1.51619  9.13022  1.69422
-0.000885725      4.89357      1.77096	-0.0506271    4.80152    1.75102
0.448955  6.38873 0.970306	0.330039  6.31881 0.968208
-1.84082  2.75637 0.152297	-1.62105  2.72159 0.155946
-0.935486   1.35842  0.196691	-0.783871   1.39145  0.202875
0.53784 7.01612 1.76875	0.400719  6.96216  1.77246
-2.3343   5.521 1.87933	-2.4559 5.38711 1.89976
-1.90922  4.79567  1.32536	-1.89579  4.65136  1.30357
-2.84412  4.86267  1.48963	-2.76078  4.68917   1.4511
  -3.0536 -0.278103  0.463205	  -2.6402 -0.103491  0.456007
-0.368562   9.93192   1.09224	-0.657766   10.0308    1.1144
-1.24862  8.92836 0.579932	-1.55347  8.98129 0.592292
-1.15207  3.73357  1.48341	-1.07809  3.64128  1.43537
0.164075  8.04694 0.291541	-0.0265015    8.02548   0.286162
-0.471569   6.27379  0.467024	-0.630304   6.20902   0.47363
-1.29497  6.53026  1.52471	-1.48565    6.462  1.55865
-1.2315  3.6975  1.5077	-1.14914  3.60561  1.45701
-1.86212  4.89832 0.861132	-1.87753  4.75477 0.854421
 -2.55093   6.47119 0.0967245	-3.13736  6.53287 0.110492
-0.80974  7.78737  1.94815	-1.02049  7.76098   1.9855
-1.21101  5.65441 0.721801	-1.42367  5.58405 0.750418
-1.11587   3.4322 0.791012	-0.998978   3.36101  0.760183
-2.76805 -1.06548 0.868836	 -2.36098 -0.830626  0.834727
-1.50183 0.108613  1.11978	-1.26168 0.228379  1.07666
0.142449  6.00724  1.37143	0.0362963   5.92736   1.37079
-2.30734  3.37303  1.66489	-2.10558  3.28409  1.58526
-1.44182  4.48406 0.767532	 -1.3379  4.35151 0.736267
 -3.23479 -0.698266  0.181944	 -2.78548 -0.484496  0.196615
-1.96969  6.38631 0.348952	-2.36872  6.39234 0.375887
-3.43923 -1.49857 0.209492	-2.93527 -1.20585 0.224325
 0.75676  2.98442 0.766661	0.761881  2.95217 0.750609
-0.80112  2.84645 0.689717	-0.702963   2.80371  0.669318
0.0113606   3.52028  0.666388	0.0350682   3.45812  0.649862
-1.36632 0.149869   1.7961	-1.14031 0.263641  1.71742
-2.49738  6.44802 0.323117	-3.05077   6.4976 0.358009
0.0915158   3.45143   1.86343	0.104862  3.39225  1.81898
-2.99474  1.98334 0.175001	-2.6178 2.00255 0.18037
 0.440624   5.17913 0.0933108	 0.350018   5.10209 0.0927355
-0.913443   8.13917  0.177762	-1.16208  8.13867 0.175437
-3.13467  1.80865  1.79316	-2.78519  1.82016  1.69095
-2.19704  3.13151 0.684929	-1.93321  3.07416 0.649228
-1.68097  1.68026  1.01471	-1.47929  1.69586 0.976149
  -2.86114 -0.0781387  0.0743878	 -2.47653 0.0765511 0.0946284
-3.77951 -2.53583  1.55506	-3.19674 -2.13374  1.46016
 0.438719   6.99782 0.0131466	  0.294141    6.93865 0.00585826
-0.432329   1.88291   1.67407	-0.334685   1.88612   1.61866
 -3.18229 -0.527518   0.98428	 -2.74923 -0.332891  0.939542
-0.102462   8.19914   1.06774	-0.305808   8.18817   1.07927
-0.468645   9.96093   1.51551	-0.763174    10.065     1.554
-1.36676  4.86755  1.38139	-1.39678  4.74007  1.36887
-0.164145   5.59301  0.745047	-0.275779   5.51076  0.750422
-0.889533    3.7049  0.383654	-0.773331   3.62762  0.369416
-1.93741  3.77625  1.00245	 -1.7361  3.67572 0.949018
-2.04185   3.2415   1.9309	-1.87975  3.15932  1.85014
-3.83299 -1.84903  1.90434	-3.27516 -1.52087    1.783
-1.31855  8.45371 0.140265	-1.61171  8.48141  0.13786
0.71696 5.98006 1.26595	0.617254  5.90725  1.25844
 -2.9733 0.125263 0.941928	-2.58355 0.265349 0.900093
-0.862394   3.13651  0.106664	-0.753973   3.08381  0.110928
-0.412783   6.64927   1.80002	-0.555905   6.57831   1.81502
-1.07643  8.59514 0.636946	-1.35435  8.62455 0.649853
-0.208975   2.27761   1.10881	-0.136653   2.26323   1.07713
 -2.67271 -0.831674  0.134069	  -2.2836 -0.618196  0.152029
0.543283  7.01877   1.6304	0.405704  6.96454  1.63322
0.268018  9.04459  1.66478	0.0540634   9.05814   1.68362
1.29976 6.11083 1.33623	1.19673 6.04894 1.32433
0.530477  2.50627  1.68562	0.560328  2.49048  1.64067
 0.31286  8.91587 0.743232	0.101285  8.92222 0.744408
-0.358672   1.18551   1.48467	-0.242833   1.22535   1.43556
 1.1637 3.09098 0.04023	  1.15131   3.06113 0.0431384
 1.38236  3.42996 0.112917	  1.3541  3.39384 0.112505
0.947942  4.77919  1.72994	0.890813   4.7118  1.70546
0.409636  9.21737  1.07944	0.193122  9.23375  1.08675
0.0131726   1.57754  0.554051	0.0942841   1.59678  0.543862
-0.12049  1.17185  1.04783	-0.0202209    1.21023     1.0184
 1.38052  6.59159 0.431961	 1.26012  6.53455 0.424257
 1.19733  6.76293 0.123612	 1.06994  6.70578 0.116567
0.807092   2.4654 0.732419	0.826091  2.45359 0.716559
 -1.08128 0.0993681  0.153689	-0.887669  0.199373  0.164311
 -1.53317 -0.432456 0.0506119	 -1.28924  -0.29532 0.0688569
-0.366193   1.02502  0.424703	-0.247581   1.07055  0.420344
-2.92488  -2.3625  1.92362	-2.49124 -2.05701  1.82339
 -1.37008 -0.252556  0.551642	 -1.14383 -0.128126   0.54257
0.597985  1.90091 0.552333	0.639836  1.90761 0.542425
1.41389 6.79699 1.00618	    1.29  6.74325 0.997821
0.655984     1.92 0.963149	0.695829  1.92743 0.939948
0.662093    8.705  0.41533	0.470042  8.69108 0.409986
 -0.919588 -0.0170875    1.26167	-0.738931 0.0819554   1.22006
