63	-1.16707  3.02611 0.677222	 0.200984 -0.740048  -0.83747 -0.244006 -0.726088  0.319755 -0.771082  0.761366  0.164899 -0.578274
68	 0.360401   2.47293 0.0179727	 0.157625  0.343682 -0.941048  0.511891  0.199413 -0.721998 -0.712117 -0.608204  0.554821  0.688563
76	-0.837456   6.49956   1.58856	  0.423812  -0.189465  -0.613015   0.675972  -0.690579   0.347296  -0.352297  -0.305607  0.0650283 -0.0855207
80	-3.17085 -1.72545 0.196439	0.0646838  0.490017  0.940084  0.917507 -0.822943 -0.958983 -0.893853  0.795766  0.799042 -0.920566
88	-2.32951  2.30454 0.081396	 -0.242402 0.00367069   0.388182  -0.964005   0.300131    0.23894   0.387384  0.0402366   0.790707   -0.51717
103	 1.07063  5.93487 0.428673	 0.432399 0.0947199  0.480901 -0.106248 -0.250051  0.116395  0.681608 -0.865075  0.407141 -0.558643
111	 -0.9769  1.40779 0.191801	0.0644367  0.987055 -0.881673  -0.93987 -0.135097 -0.357907  0.946293 0.0380956  0.226508  0.444753
145	 -1.19187   9.86054 0.0465105	 0.566061  0.464277 -0.917448  0.596949  0.344034  0.777599  0.515141 -0.230922  0.660221  0.522057
166	-1.58012 0.685569 0.784935	-0.621197  0.341204 -0.595347  -0.48131 -0.677013  0.267468  -0.71984  0.114963  0.160523 -0.653544
173	-0.115154   7.89227   1.70089	-0.555551  0.505941 -0.775258  0.857206  0.211701  0.138847  0.568044 -0.823599  0.181035 -0.308075
175	-0.326063    1.4229    1.4164	-0.380037  0.560814   0.27381 -0.588382  0.719375   0.71826   0.91756  0.944117  0.575466  0.129261
181	-1.69975  4.99156  1.02543	   0.795082     0.56119   -0.191728   -0.160681   -0.132625    0.814568 0.000130057    0.951868    0.616358   -0.296297
186	-1.40649  2.51875  1.57472	 -0.363999  -0.404756   0.318223   0.428182    0.88663  -0.927022 -0.0759333   -0.50321   0.105384   0.325761
189	-1.92789  6.28022 0.359843	  0.944388 -0.0442758  -0.955454  -0.852352 -0.0904063   0.854488   0.702408  -0.431292  -0.388881   0.169044
192	-1.51619  9.13022  1.69422	  0.489464  0.0764093   0.486326   0.273566  -0.814848   -0.13354 -0.0357851   0.106223   -0.34143  -0.547372
226	-0.0506271    4.80152    1.75102	-0.0262535   0.472183   0.547006   0.619006   0.925916   0.482458  -0.940886  -0.826409 -0.0763676   0.436199
229	0.330039  6.31881 0.968208	 0.968528 0.0750718  0.272564 -0.717869  0.975184  0.156013  0.476047 -0.371207  0.157548 0.0707208
233	-1.62105  2.72159 0.155946	 -0.15632  -0.47994  0.154418  0.286783  0.326922 -0.187553 -0.928859  0.178678 -0.890651  0.370347
251	-0.783871   1.39145  0.202875	0.0184095 -0.546839  0.171693 -0.825482 -0.419792 -0.108934 -0.483608  0.234773 -0.109934   0.34957
275	0.400719  6.96216  1.77246	  0.901747 -0.0544072   0.466355  -0.782355 -0.0168586   0.134778   -0.30289   0.424487  -0.571156  -0.142559
285	-2.4559 5.38711 1.89976	-0.529223 -0.165898  -0.52311   0.99705  0.954455  0.795794  0.301849  0.604161 -0.386456  0.416842
321	-1.89579  4.65136  1.30357	  0.121663  -0.697701 -0.0107318  -0.948717   0.957559  0.0248443   0.294227   0.556386   0.789302   0.578873
322	-2.76078  4.68917   1.4511	-0.263404  -0.14825  0.480009 -0.741038  0.941419 -0.638511   0.91755  0.927547  0.339667  0.504161
331	  -2.6402 -0.103491  0.456007	 -0.372921  -0.232389  -0.275591   0.142657 -0.0831489   0.918033   0.855599  -0.554373   0.771446   0.860145
333	-0.657766   10.0308    1.1144	 -0.795388   0.472763   0.148521   0.176801  -0.758839     0.7756   0.944412 -0.0344303 -0.0817431  -0.138737
337	-1.55347  8.98129 0.592292	-0.150985 -0.239448  0.305884 -0.431382 -0.410502  0.541223 -0.244189  0.381588  0.769753  0.396885
346	-1.07809  3.64128  1.43537	 -0.538912   0.939179 -0.0289906   -0.78009  -0.168884   0.503105 -0.0277033   0.939853   0.817772   -0.16483
377	-0.0265015    8.02548   0.286162	 0.568992 -0.997484  0.170229 -0.528694 -0.792735  0.792076 -0.393831 -0.986474 0.0327893  0.709821
402	-0.630304   6.20902   0.47363	   0.299441   -0.266976 -0.00990885    0.981139    0.469097   0.0484805   -0.101318    0.457996    0.989811   -0.327363
404	-1.48565    6.462  1.55865	-0.0413483  -0.928209   0.190487  -0.413969  -0.161721  -0.510072   0.319055    0.82837  -0.528933  -0.211848
405	-1.14914  3.60561  1.45701	-0.133339 -0.957614  0.861787   0.68244 -0.169727 0.0519526  0.349148  0.320996  0.499283  0.749431
406	-1.87753  4.75477 0.854421	 -0.18036  0.902858 -0.698931 -0.527335 -0.859498  0.259721 -0.455544  0.330989  0.845752  0.382735
453	-3.13736  6.53287 0.110492	 -0.392726   0.341782 -0.0774235  0.0674467   0.322636   -0.57119  -0.867183  -0.240172   0.554532   0.274679
477	-1.02049  7.76098   1.9855	 0.906963 -0.669358 0.0752866 -0.396006  0.186727 0.0878733  0.698024 -0.767612 -0.336127 -0.615916
478	-1.42367  5.58405 0.750418	 0.165984 -0.714991  0.503757  0.802579 -0.413575 -0.401238   0.23094  0.139862 -0.403314  0.838118
499	-0.998978   3.36101  0.760183	   0.87236  -0.425417   0.371344  -0.623066    0.15561 -0.0930542 -0.0853708  -0.210316   0.693174   0.295134
503	 -2.36098 -0.830626  0.834727	   0.29975 -0.0932432   0.709146  -0.997917  -0.167481   0.171158  -0.275397   0.646693   0.976389  -0.948383
514	-1.26168 0.228379  1.07666	 0.415944 -0.793552 -0.875854 -0.454529 -0.929115 -0.510046  0.606485  0.817317  0.142564  0.187172
520	0.0362963   5.92736   1.37079	-0.292163 -0.870239  0.363799  0.371776  0.863985   0.41306  0.413762  0.135915  0.274392 -0.190288
539	-2.10558  3.28409  1.58526	 0.846372 0.0731449 -0.951799 -0.665444  0.482183 -0.334989  0.952538 -0.688376  0.229602  0.222713
544	 -1.3379  4.35151 0.736267	 -0.117144  -0.295213   0.686816  -0.137568  -0.727208      0.987  -0.935279   0.338009  -0.434102 -0.0289121
555	 -2.78548 -0.484496  0.196615	  0.285991   0.349291   0.311155  -0.969561 -0.0395061  -0.483023 0.00421429  -0.177247     0.7546  -0.353065
561	-2.36872  6.39234 0.375887	-0.901468 -0.321224  0.762173 -0.139413 -0.933921 -0.734849 -0.141754 -0.936109 -0.385877  0.688644
577	-2.93527 -1.20585 0.224325	 0.332789 -0.971058  0.532263  0.699824 -0.773615 -0.450667  0.779397  0.704055 -0.455899  0.571954
578	0.761881  2.95217 0.750609	-0.0117552   -0.22775   -0.28538   0.229583  -0.744161   0.503275  0.0797361  -0.946488 -0.0893854   0.163092
596	-0.702963   2.80371  0.669318	  0.054528  -0.489826   0.452922   0.133857 -0.0457281  -0.424836   0.676797  0.0767392   0.583197   0.904953
599	0.0350682   3.45812  0.649862	 -0.415667   0.256981     0.6962   0.149527   0.053151   0.980456  -0.145336 -0.0911871  -0.117177   0.533821
