63	-1.31204  3.08057 0.704067	 0.200984 -0.740048  -0.83747 -0.244006 -0.726088  0.319755 -0.771082  0.761366  0.164899 -0.578274
68	  0.322771    2.49316 0.00960517	 0.157625  0.343682 -0.941048  0.511891  0.199413 -0.721998 -0.712117 -0.608204  0.554821  0.688563
76	-0.683305   6.57093    1.5693	  0.423812  -0.189465  -0.613015   0.675972  -0.690579   0.347296  -0.352297  -0.305607  0.0650283 -0.0855207
80	-3.73626 -2.08632 0.177238	0.0646838  0.490017  0.940084  0.917507 -0.822943 -0.958983 -0.893853  0.795766  0.799042 -0.920566
88	 -2.65763   2.30982 0.0695629	 -0.242402 0.00367069   0.388182  -0.964005   0.300131    0.23894   0.387384  0.0402366   0.790707   -0.51717
103	  1.1729  6.00259 0.436448	 0.432399 0.0947199  0.480901 -0.106248 -0.250051  0.116395  0.681608 -0.865075  0.407141 -0.558643
111	-1.14423  1.37508 0.184888	0.0644367  0.987055 -0.881673  -0.93987 -0.135097 -0.357907  0.946293 0.0380956  0.226508  0.444753
145	 -0.87675   9.76701 0.0580995	 0.566061  0.464277 -0.917448  0.596949  0.344034  0.777599  0.515141 -0.230922  0.660221  0.522057
166	-1.83172  0.59836 0.812079	-0.621197  0.341204 -0.595347  -0.48131 -0.677013  0.267468  -0.71984  0.114963  0.160523 -0.653544
173	0.0678718   7.91655   1.68288	-0.555551  0.505941 -0.775258  0.857206  0.211701  0.138847  0.568044 -0.823599  0.181035 -0.308075
175	-0.442269   1.39201   1.46595	-0.380037  0.560814   0.27381 -0.588382  0.719375   0.71826   0.91756  0.944117  0.575466  0.129261
181	-1.59564  5.11386  1.01352	   0.795082     0.56119   -0.191728   -0.160681   -0.132625    0.814568 0.000130057    0.951868    0.616358   -0.296297
186	-1.56051  2.55726  1.64035	 -0.363999  -0.404756   0.318223   0.428182    0.88663  -0.927022 -0.0759333   -0.50321   0.105384   0.325761
189	-1.60995  6.29963 0.339398	  0.944388 -0.0442758  -0.955454  -0.852352 -0.0904063   0.854488   0.702408  -0.431292  -0.388881   0.169044
192	-1.21655  9.07365  1.64455	  0.489464  0.0764093   0.486326   0.273566  -0.814848   -0.13354 -0.0357851   0.106223   -0.34143  -0.547372
226	-0.000885725      4.89357      1.77096	-0.0262535   0.472183   0.547006   0.619006   0.925916   0.482458  -0.940886  -0.826409 -0.0763676   0.436199
229	0.448955  6.38873 0.970306	 0.968528 0.0750718  0.272564 -0.717869  0.975184  0.156013  0.476047 -0.371207  0.157548 0.0707208
233	-1.84082  2.75637 0.152297	 -0.15632  -0.47994  0.154418  0.286783  0.326922 -0.187553 -0.928859  0.178678 -0.890651  0.370347
251	-0.935486   1.35842  0.196691	0.0184095 -0.546839  0.171693 -0.825482 -0.419792 -0.108934 -0.483608  0.234773 -0.109934   0.34957
275	0.53784 7.01612 1.76875	  0.901747 -0.0544072   0.466355  -0.782355 -0.0168586   0.134778   -0.30289   0.424487  -0.571156  -0.142559
285	-2.3343   5.521 1.87933	-0.529223 -0.165898  -0.52311   0.99705  0.954455  0.795794  0.301849  0.604161 -0.386456  0.416842
321	-1.90922  4.79567  1.32536	  0.121663  -0.697701 -0.0107318  -0.948717   0.957559  0.0248443   0.294227   0.556386   0.789302   0.578873
322	-2.84412  4.86267  1.48963	-0.263404  -0.14825  0.480009 -0.741038  0.941419 -0.638511   0.91755  0.927547  0.339667  0.504161
331	  -3.0536 -0.278103  0.463205	 -0.372921  -0.232389  -0.275591   0.142657 -0.0831489   0.918033   0.855599  -0.554373   0.771446   0.860145
333	-0.368562   9.93192   1.09224	 -0.795388   0.472763   0.148521   0.176801  -0.758839     0.7756   0.944412 -0.0344303 -0.0817431  -0.138737
337	-1.24862  8.92836 0.579932	-0.150985 -0.239448  0.305884 -0.431382 -0.410502  0.541223 -0.244189  0.381588  0.769753  0.396885
346	-1.15207  3.73357  1.48341	 -0.538912   0.939179 -0.0289906   -0.78009  -0.168884   0.503105 -0.0277033   0.939853   0.817772   -0.16483
377	0.164075  8.04694 0.291541	 0.568992 -0.997484  0.170229 -0.528694 -0.792735  0.792076 -0.393831 -0.986474 0.0327893  0.709821
402	-0.471569   6.27379  0.467024	   0.299441   -0.266976 -0.00990885    0.981139    0.469097   0.0484805   -0.101318    0.457996    0.989811   -0.327363
404	-1.29497  6.53026  1.52471	-0.0413483  -0.928209   0.190487  -0.413969  -0.161721  -0.510072   0.319055    0.82837  -0.528933  -0.211848
405	-1.2315  3.6975  1.5077	-0.133339 -0.957614  0.861787   0.68244 -0.169727 0.0519526  0.349148  0.320996  0.499283  0.749431
406	-1.86212  4.89832 0.861132	 -0.18036  0.902858 -0.698931 -0.527335 -0.859498  0.259721 -0.455544  0.330989  0.845752  0.382735
453	 -2.55093   6.47119 0.0967245	 -0.392726   0.341782 -0.0774235  0.0674467   0.322636   -0.57119  -0.867183  -0.240172   0.554532   0.274679
477	-0.80974  7.78737  1.94815	 0.906963 -0.669358 0.0752866 -0.396006  0.186727 0.0878733  0.698024 -0.767612 -0.336127 -0.615916
478	-1.21101  5.65441 0.721801	 0.165984 -0.714991  0.503757  0.802579 -0.413575 -0.401238   0.23094  0.139862 -0.403314  0.838118
499	-1.11587   3.4322 0.791012	   0.87236  -0.425417   0.371344  -0.623066    0.15561 -0.0930542 -0.0853708  -0.210316   0.693174   0.295134
503	-2.76805 -1.06548 0.868836	   0.29975 -0.0932432   0.709146  -0.997917  -0.167481   0.171158  -0.275397   0.646693   0.976389  -0.948383
514	-1.50183 0.108613  1.11978	 0.415944 -0.793552 -0.875854 -0.454529 -0.929115 -0.510046  0.606485  0.817317  0.142564  0.187172
520	0.142449  6.00724  1.37143	-0.292163 -0.870239  0.363799  0.371776  0.863985   0.41306  0.413762  0.135915  0.274392 -0.190288
539	-2.30734  3.37303  1.66489	 0.846372 0.0731449 -0.951799 -0.665444  0.482183 -0.334989  0.952538 -0.688376  0.229602  0.222713
544	-1.44182  4.48406 0.767532	 -0.117144  -0.295213   0.686816  -0.137568  -0.727208      0.987  -0.935279   0.338009  -0.434102 -0.0289121
555	 -3.23479 -0.698266  0.181944	  0.285991   0.349291   0.311155  -0.969561 -0.0395061  -0.483023 0.00421429  -0.177247     0.7546  -0.353065
561	-1.96969  6.38631 0.348952	-0.901468 -0.321224  0.762173 -0.139413 -0.933921 -0.734849 -0.141754 -0.936109 -0.385877  0.688644
577	-3.43923 -1.49857 0.209492	 0.332789 -0.971058  0.532263  0.699824 -0.773615 -0.450667  0.779397  0.704055 -0.455899  0.571954
578	 0.75676  2.98442 0.766661	-0.0117552   -0.22775   -0.28538   0.229583  -0.744161   0.503275  0.0797361  -0.946488 -0.0893854   0.163092
596	-0.80112  2.84645 0.689717	  0.054528  -0.489826   0.452922   0.133857 -0.0457281  -0.424836   0.676797  0.0767392   0.583197   0.904953
599	0.0113606   3.52028  0.666388	 -0.415667   0.256981     0.6962   0.149527   0.053151   0.980456  -0.145336 -0.0911871  -0.117177   0.533821
610	-1.36632 0.149869   1.7961	-0.194921 -0.218076  0.733377   0.67318  0.437774  0.443849  0.659527 -0.617563    0.1623 -0.441298
616	-2.49738  6.44802 0.323117	  0.825798   0.544241   0.520071   0.393325   -0.98472 -0.0257384  0.0265256     -0.627   0.251381 -0.0168152
622	0.0915158   3.45143   1.86343	 -0.437378  -0.970712   0.447469 -0.0850171  -0.976981  0.0142802   0.648431    0.90451  -0.222876  -0.669304
631	-2.99474  1.98334 0.175001	  -0.806835   0.0299248   -0.664679   -0.036965    0.357343  -0.0920386   -0.261044  0.00946772 -0.00154781   -0.302784
669	 0.440624   5.17913 0.0933108	  0.483372   0.656269  -0.716335  -0.468197   0.183675   -0.65684 -0.0689257   0.944908  -0.237626  -0.320682
674	-0.913443   8.13917  0.177762	 0.854488 -0.774124  0.420991  0.731395 -0.417257 -0.484526  -0.71238  0.153539 -0.124107  0.247022
689	-3.13467  1.80865  1.79316	  0.868939  -0.460964  -0.495288 -0.0234739   0.727218   0.140046  -0.762902  -0.280592   0.901549   0.901555
725	-2.19704  3.13151 0.684929	-0.767085 -0.762353 -0.734667 -0.921648  0.273257  0.394304 -0.850749 -0.751703 -0.462407 -0.225304
726	-1.68097  1.68026  1.01471	 0.962113  0.510301  0.538267 -0.692595  0.265316  0.622516 -0.779403 -0.892818 -0.886755 -0.855216
750	  -2.86114 -0.0781387  0.0743878	-0.392994 -0.473673  0.514505  0.252788  0.203432  0.547629 -0.653064  0.753707  0.678124 -0.193348
769	-3.77951 -2.53583  1.55506	-0.917059  0.713679 -0.601605 -0.289701 -0.308414  0.347654  0.773289  0.551553  0.641881  0.138551
780	 0.438719   6.99782 0.0131466	-0.986888 -0.215834  -0.31828   0.13573  0.968484  0.550821  0.496299 -0.823003  0.278877  0.961912
805	-0.432329   1.88291   1.67407	 0.358625  0.773204  0.533827 -0.189146  -0.85142   0.77479 -0.201936  0.898915 -0.785281  0.228532
820	 -3.18229 -0.527518   0.98428	 -0.703679  0.0281582   0.717622  -0.469453   0.493584   -0.27851  -0.353201  -0.418663   0.327913 -0.0937847
826	-0.102462   8.19914   1.06774	  0.520775  -0.210085   0.222426   0.539881   0.942201  -0.437068 -0.0124431   -0.74071   0.769863   0.624211
830	-0.468645   9.96093   1.51551	  0.847817  -0.354454  -0.921268   0.709636   0.820626   0.175159  -0.892965    0.98546    -0.9085 -0.0294335
832	-1.36676  4.86755  1.38139	 0.669425  0.965574 -0.356171  0.665518  0.723327 -0.508353 -0.688937  0.802059 -0.798718 -0.868311
